VPC ID,Structure,SMILES,Mol Weight,IC50_eGFP,PSA IC50 (uM),% Growth@50uM (MTS),% Peptide Displacement@50uM (FP),% AR Inhibition@50/25uM (eGFP),% AR Inhibition@3uM (eGFP),CV_eGFP (50uM),CV_eGFP (3uM),CV_FP,Half Life,,U-shaper,
13573,,Fc1cc2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)cc1,276.31,0.60,500.00,,,,,,,,36.00,,0,
13574,,Cc1cc2[nH]cc(-c3nc4c(cc3)cccc4)c2cc1,258.32,2.60,500.00,,,,,,,,13.00,,,
13580,,FC(F)(F)c1cc2[nH]cc(-c3nc4c(cc3)cccc4)c2cc1,312.30,2.90,500.00,,,,,,,,,,,
13581,,c1(-c2cnccc2)c2c([nH]c1)cncc2,195.23,4.90,500.00,,,,,,,,,,,
13589,,O(Cc1ccccc1)c1cc2[nH]cc(-c3nc4c(cc3)cccc4)c2cc1,350.42,5.30,6.56,,,,,,,,,,,
13595,,Cc1c2[nH]cc(-c3nc4c(C)cccc4cc3)c2ccc1,272.35,500.00,500.00,,,,,,,,,,,
13619,,Fc1c(C)ccc2c(-c3nc4c(cc3)cccc4)c[nH]c12,276.31,2.20,500.00,,,,,,,,15.00,,,
13633,,Cc1c2[nH]nc(-c3nc4c(cc3)cccc4)c2cc(C)c1,273.34,6.00,500.00,,,,,,,,,,,
13634,,Cc1c2[nH]cc(-c3nccc4c3cccc4)c2ccc1,258.32,5.00,500.00,,,,,,,,,,,
13644,,Cc1c2[nH]cc(-c3nc4nccnc4cc3)c2ccc1,260.30,3.00,500.00,,,,,,,,10.00,,,
13650,,Fc1c2c(-c3nc4c(cc3)cccc4)c[nH]c2c(C)cc1,276.31,1.60,500.00,,,,,,,,42.00,,,
13651,,Fc1c(F)cc2[nH]cc(-c3nc4c(F)cccc4cc3)c2c1,298.27,0.40,500.00,,,,,,,,76.00,,0,
13680,,OCc1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)ccc1,288.35,0.80,500.00,,,,,,,,,,1,
13713,,Fc1c2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2ccc1,319.34,0.00,500.00,,,,,,,,36.20,,1,
13732,,Clc1c2nc(-c3c4c(c(C#N)cc(F)c4)[nH]c3)ccc2ccc1,321.74,0.40,0.30,,,,,,,,199.00,,0,
13596,,Cc1c(-c2c3c(c(C)ccc3)[nH]c2)nc2c(c1)cccc2,272.35,"1,000.00","1,000.00",,,,,,,,,,,
13598,,N#Cc1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)ccc1,283.33,"1,000.00","1,000.00",,,,,,,,,,,
13599,,Fc1cc2c(nc(-c3c4c(c(C)cc(C)c4)[nH]c3)cc2)cc1,290.34,"1,000.00","1,000.00",,,,,,,,50.00,,,
13604,,Cc1c2[nH]cc(C3=Nc4c(cccc4)CN3)c2ccc1,261.33,"1,000.00","1,000.00",,,,,,,,,,,
13605,,Clc1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)ccc1,292.77,"1,000.00","1,000.00",,,,,,,,,,,
13608,,N#Cc1c2c(nc(-c3c4c(c(C)cc(C)c4)[nH]c3)cc2)ccc1,297.36,"1,000.00","1,000.00",,,,,,,,,,,
13609,,Fc1c(C)c2[nH]cc(-c3nc4c(c(C#N)ccc4)cc3)c2cc1,301.32,"1,000.00","1,000.00",,,,,,,,-369.00,,,
13615,,Fc1c(C)c2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2cc1,333.37,"1,000.00","1,000.00",,,,,,,,,,,
13616,,Fc1c(C)c2[nH]cc(-c3nc4c(cc(C)cc4)cc3)c2cc1,290.34,"1,000.00","1,000.00",,,,,,,,,,,
